GrouP28,,,,,
P1,P2,P3,P4,P5,PC
,111.31,105.27,99.49,73.19,
,110.96,105.35,99.9,73.08,
,110.88,105.58,98.39,73.29,
,111.17,105.84,99.17,73.6,
,111.19,105.85,98.96,73.47,
,111.01,105.81,98.93,73.38,
,110.76,105.69,99.11,73.63,
,110.64,105.54,98.95,74.01,
,110.67,105.54,98.99,73.8,
,110.72,105.46,98.97,73.94,
,111.01,105.6,98.97,73.81,
,111.24,105.78,99.02,73.76,
,110.36,105.67,99,72.98,
,108.82,105.12,99.02,72.41,
,107.17,,98.94,72.41,
,106.43,,98.93,72.12,
,106.3,,99.11,71.95,
,106.51,,99.25,71.94,
,106.87,,98.39,71.95,
,107.24,,99.47,71.97,
,107.5,,98.83,71.94,
,107.46,,98.74,71.96,
,107.05,,99.38,71.84,
,106.8,,98.33,71.54,
,106.71,,99.31,71.77,
,106.73,,98.99,72.12,
,107.26,,98.44,72.34,
,107.88,,99.45,72.67,
,108.15,,98.63,72.7,
,107.99,,98.88,72.66,
,108.04,,99.31,72.54,
,107.95,,98.44,72.83,
,107.85,,99.52,72.98,
,107.76,,98.68,73.26,
,107.79,,98.85,73.02,
,107.72,,99.31,72.9,
,107.63,,98.36,72.62,
,107.71,,99.55,72.38,
,107.63,,98.68,72.46,
,107.57,,98.83,72.29,
,107.44,,99.31,72.43,
,107.39,,98.5,72.29,
,107.43,,99.58,71.96,
,107.33,,98.6,72.1,
,107.28,,99.02,72.32,
,106.99,,99.22,71.52,
,106.59,,98.32,71.31,
,106.21,,99.52,71.02,
,106.19,,98.66,71.31,
,106.66,,98.78,71.94,
,107.29,,99.33,72.3,
,107.27,,98.5,71.77,
,106.78,,99.42,71.51,
,106.39,,98.84,71.41,
,106.15,,98.61,71.43,
,105.94,,99.31,71.39,
,105.54,,98.44,71.23,
,105.24,,99.34,71.35,
,105.1,,98.9,71.49,
,105.13,,98.58,71.18,
,105.24,,99.43,70.84,
,105.46,,98.42,70.58,
,105.52,,99.21,71.17,
,105.49,,99.05,71.37,
,105.51,,98.5,71.54,
,105.65,,99.43,71.6,
,105.74,,98.61,71.9,
,105.62,,99.17,72.18,
,105.44,,99.02,71.88,
,105.25,,98.54,71.82,
,105.21,,99.26,72.57,
,105.38,,98.53,73.12,
,105.48,,99.48,73.06,
,105.57,,98.73,72.78,
,105.71,,98.86,72.58,
,105.86,,99.34,72.48,
,106.07,,98.45,72.22,
,106.14,,99.63,72.27,
,106.19,,98.48,72.18,
,106,,99.05,72.25,
,106.21,,99.01,72.33,
,106.06,,98.69,72.78,
,106.07,,99.49,72.85,
,106.16,,98.55,72.98,
,106.14,,99.24,73.24,
,106.25,,98.99,73.24,
,106.35,,98.7,73.5,
,106.08,,99.25,73.02,
,105.96,,98.52,73.18,
,107.54,,99.5,74.32,
,108.82,105.32,98.68,74.84,
,109.21,105.69,99.03,75,
,109.2,105.67,99.16,75.57,
,109.26,105.54,98.7,75.7,
,109.85,105.66,99.19,76.24,
,110.63,105.93,98.9,76.49,
,110.73,106.08,99.16,76.58,
,110.4,105.89,98.97,76.38,
,109.81,105.62,98.93,76.21,
,109.3,105.27,99.03,76.08,
,109.72,105.18,99,75.97,
,110.51,105.55,99.06,75.77,
,110.92,105.81,98.99,75.74,
,110.88,105.84,98.99,75,
,110.96,105.85,98.99,75.16,
,110.93,105.77,98.99,74.98,
,110.92,105.79,98.97,75.31,
,110.74,105.64,98.95,75.12,
,110.74,105.66,99.03,74.72,
,110.79,105.64,99.01,74.92,
,110.62,105.53,99.02,74.59,
,110.24,105.3,99.01,74.43,
,109.96,105.12,98.94,74.39,
,109.97,105.12,99.03,74.04,
,109.96,,99.02,73.75,
,109.86,,98.98,73.91,
,109.8,,99,73.15,
,109.52,,98.99,73.15,
,109.05,,98.94,73.11,
,109.15,,98.96,73.38,
,109.91,,99.02,73.59,
,111,105.59,99.04,73.51,
,111.06,106.01,99,73.31,
,110.94,105.78,99,73.49,
,110.44,105.45,98.98,73.19,
,110.26,105.22,99.02,73.54,
,110.52,105.28,99,73.31,
,110.55,105.24,99.03,73.03,
,110.25,105.04,98.98,72.85,
,109.59,,98.95,73.08,
,109.36,,99.04,73.07,
,109.49,,98.98,72.98,
,109.73,,99,72.93,
,109.71,,99.03,72.9,
,109.49,,98.96,72.97,
,109.28,,98.96,72.94,
,109.31,,99.04,72.77,
,109.28,,99,72.92,
,109.63,,99.04,73.04,
,109.82,,99.02,72.89,
,110.04,,98.98,73.05,
,110.15,,98.98,73.12,
,110.18,,99,72.98,
,110.15,,99.03,73.23,
,109.92,,99.01,73.18,
,110.24,,98.98,72.91,
,110.44,,99.03,72.87,
,110.39,105.05,98.99,73.14,
,110.42,105.07,99.02,72.98,
,109.56,,98.99,71.51,
,108.04,,98.93,70.48,
,106.86,,98.97,70.12,
,106.08,,98.94,69.53,
,105.53,,99.1,69.52,
,105.1,,99.16,69.16,
,,,98.45,69.02,
,,,99.54,68.62,
,,,98.62,68.5,
,,,98.8,67.61,
,,,99.26,67.75,
,,,98.4,68.56,
,105.33,,99.45,69.66,
,106.79,,98.82,70.84,
,108.16,,98.74,70.87,
,109.03,,99.5,71.1,
,109.17,,98.33,71.26,
,109.08,,99.71,71.45,
,109.61,,98.74,71.93,
,110.53,,98.7,72.3,
,110.79,105.08,99.6,71.96,
,110.27,105.03,98.25,71.86,
,110.01,,99.6,72.48,
,109.99,,98.87,72.64,
,110.49,105,98.62,72.73,
,110.64,105.2,99.6,72.42,
,110.28,,98.21,72.64,
,109.71,,99.64,72.61,
,109.67,,98.83,72.59,
,109.77,,98.58,72.68,
,109.75,,99.59,72.47,
,109.92,,98.34,72.58,
,109.73,,99.64,72.59,
,109.78,,98.77,72.56,
,109.94,,98.66,72.71,
,109.95,,99.54,72.47,
,109.85,,98.31,72.68,
,109.69,,99.73,72.65,
,109.68,,98.69,72.75,
,109.64,,98.83,72.92,
,109.7,,99.48,72.83,
,109.87,,98.21,72.69,87
,110.15,,99.67,72.85,87
,110.23,,98.76,72.83,87
,110.16,,98.75,72.93,87
,110.07,,99.46,72.64,87
,110.13,,98.27,72.55,87
,110.23,,99.71,72.83,87
,110.42,,98.75,72.9,87
,110.39,,98.55,72.65,87
,110.15,,99.68,72.73,87
,110.11,,98.31,72.41,87
,110.08,,99.26,72.38,87
270.644436,110.62,105,99.16,72.58,87
275.9335286,111.2,105.35,98.24,72.5,87
272.3243795,111.47,105.64,99.81,72.27,87
271.5871856,110,105.38,98.58,70.8,87
,108.4,,98.53,70.53,87
,107.36,,99.43,70.66,87
,107.1,,98.29,70.49,87
,107.28,,99.12,70.11,87
,107.35,,99.19,69.92,87
,107.87,,98.23,69.82,87
,108.07,,99.39,69.59,87
,108.08,,99.04,69.04,87
,107.63,,98.23,68.61,87
,107.41,,99.53,68.4,87
,107.3,,98.83,68.43,87
,107.26,,98.38,68.34,87
,107.17,,99.52,68.08,87
,107.03,,98.55,67.98,87
,107.1,,98.68,67.94,87
,107.14,,99.41,68.23,87
,107.08,,98.33,68.07,87
,107.13,,99,68.2,87
,107.08,,99.27,68.02,87
,107.11,,98.23,68.09,87
,107.15,,99.35,67.98,87
,107.17,,99.04,68.03,87
